"region","year","sector","technology","resource","input.price","feed.cost","feed.EJ","product.EJ","non.en.cost","cost"
"USA",2021,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,3728651147.45146,0.374793018145,0.3442985,680436724.442248,4409087871.89371
"Africa_Eastern",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,3258951.166858,0.0005549376,0.0004129,864703.76832,4123654.935178
"Africa_Northern",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,6053.5524,0.000001344,0.000001,2094.2208,8147.7732
"Africa_Southern",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,10903597.0944,0.0026385408,0.0019632,4111374.27456,15014971.36896
"Africa_Western",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,1113573.129102,0.0002369472,0.0001763,369211.12704,1482784.256142
"Argentina",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,185027560.089168,0.0284675328,0.0211812,44358109.60896,229385669.698128
"Australia_NZ",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,26414265.9032,0.005007072,0.0037255,7802019.5904,34216285.4936
"Canada",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,337019232.284064,0.0846147456,0.0629574,131846696.59392,468865928.877984
"Central Asia",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,386260.75206,0.0001124928,0.0000837,175286.28096,561547.03302
"China",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,689832541.774884,0.1052622144,0.0783201,164019582.47808,853852124.252964
"EU-12",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,108682601.02728,0.0266261184,0.0198111,41488817.69088,150171418.71816
"EU-15",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,623245179.39768,0.137464992,0.1022805,214197950.5344,837443129.93208
"Europe_Non_EU",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,11504043.868044,0.0029531712,0.0021973,4601631.36384,16105675.231884
"European Free Trade Association",2021,"biorefining","corn ethanol","Gasoline_corn",1.5582,32055349.6627,0.00703248,0.0052325,10958010.336,43013359.9987
