# File: A221.bio_tech_land_alloc.csv
# Title: Biochar technology land allocation for 2025
# Units: thous km2
# Description: Model output from GCAM v8.7 run reference case for detailed land allocation in each region for biomass only (2025)
# Source: RGCAM output
# Column types: cccnc
# ----------
scenario,region,LandLeaf,allocation,Units
Reference,Africa_Northern,biomassGrass_SinaiP_RFD_lo,1.22E-07,thous km2
Reference,Africa_Northern,biomassTree_AfrCstNW_IRR_hi,4.47E-04,thous km2
Reference,Africa_Northern,biomassTree_AfrCstNW_IRR_lo,5.88E-04,thous km2
Reference,Africa_Northern,biomassTree_AfrCstNW_RFD_hi,0.00711089,thous km2
Reference,Africa_Northern,biomassTree_AfrCstNW_RFD_lo,0.00846142,thous km2
Reference,Africa_Northern,biomassTree_AfrIntN_IRR_hi,1.47851E-06,thous km2
Reference,Africa_Northern,biomassTree_AfrIntN_IRR_lo,1.89057E-06,thous km2
Reference,Africa_Northern,biomassTree_AfrIntN_RFD_hi,7.89E-06,thous km2
Reference,Africa_Northern,biomassTree_AfrIntN_RFD_lo,9.42E-06,thous km2
Reference,Africa_Northern,biomassTree_MeditS_IRR_hi,1.34E-05,thous km2
Reference,Africa_Northern,biomassTree_MeditS_IRR_lo,1.75E-05,thous km2
Reference,Africa_Northern,biomassTree_MeditS_RFD_hi,2.66E-04,thous km2
Reference,Africa_Northern,biomassTree_MeditS_RFD_lo,3.17E-04,thous km2
Reference,Africa_Northern,biomassTree_NileR_IRR_hi,7.11E-05,thous km2
Reference,Africa_Northern,biomassTree_NileR_IRR_lo,9.70E-05,thous km2
Reference,Africa_Northern,biomassTree_NileR_RFD_hi,7.25107E-05,thous km2
Reference,Africa_Northern,biomassTree_NileR_RFD_lo,0.000087501,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstE_IRR_hi,8.17E-03,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstE_IRR_lo,9.18E-03,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstE_RFD_hi,5.65E-01,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstE_RFD_lo,6.41E-01,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstSE_IRR_hi,0.000926398,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstSE_IRR_lo,0.00104825,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstSE_RFD_hi,0.0515557,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstSE_RFD_lo,0.0580736,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstSW_IRR_hi,2.33874E-05,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstSW_IRR_lo,0.000027265,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstSW_RFD_hi,0.00299062,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstSW_RFD_lo,0.00348622,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstS_IRR_hi,5.10E-04,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstS_IRR_lo,5.88E-04,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstS_RFD_hi,9.38E-03,thous km2
Reference,Africa_Southern,biomassGrass_AfrCstS_RFD_lo,1.07E-02,thous km2
Reference,Africa_Southern,biomassGrass_AfrIntS_IRR_hi,9.98E-04,thous km2
Reference,Africa_Southern,biomassGrass_AfrIntS_IRR_lo,1.11E-03,thous km2
Reference,Africa_Southern,biomassGrass_AfrIntS_RFD_hi,2.31E-01,thous km2
Reference,Africa_Southern,biomassGrass_AfrIntS_RFD_lo,2.61E-01,thous km2
Reference,Africa_Southern,biomassGrass_AngolaCst_IRR_hi,1.76E-03,thous km2
Reference,Africa_Southern,biomassGrass_AngolaCst_IRR_lo,1.93E-03,thous km2
Reference,Africa_Southern,biomassGrass_AngolaCst_RFD_hi,2.50E-01,thous km2
Reference,Africa_Southern,biomassGrass_AngolaCst_RFD_lo,2.83E-01,thous km2
Reference,Africa_Southern,biomassGrass_CongoR_IRR_hi,0.000724235,thous km2
Reference,Africa_Southern,biomassGrass_CongoR_IRR_lo,0.000818578,thous km2
Reference,Africa_Southern,biomassGrass_CongoR_RFD_hi,0.248621,thous km2
Reference,Africa_Southern,biomassGrass_CongoR_RFD_lo,0.281788,thous km2
Reference,Africa_Southern,biomassGrass_GuineaGulf_IRR_hi,0,thous km2
Reference,Africa_Southern,biomassGrass_GuineaGulf_IRR_lo,0,thous km2
Reference,Africa_Southern,biomassGrass_GuineaGulf_RFD_hi,0.00432949,thous km2
Reference,Africa_Southern,biomassGrass_GuineaGulf_RFD_lo,0.0048947,thous km2
Reference,Africa_Southern,biomassGrass_LimpopoR_IRR_hi,2.32E-03,thous km2
Reference,Africa_Southern,biomassGrass_LimpopoR_IRR_lo,2.62E-03,thous km2
Reference,Africa_Southern,biomassGrass_LimpopoR_RFD_hi,0.181906,thous km2
Reference,Africa_Southern,biomassGrass_LimpopoR_RFD_lo,0.206461,thous km2
Reference,Africa_Southern,biomassGrass_NileR_IRR_hi,1.64E-04,thous km2
Reference,Africa_Southern,biomassGrass_NileR_IRR_lo,1.86E-04,thous km2
Reference,Africa_Southern,biomassGrass_NileR_RFD_hi,1.91E-01,thous km2
Reference,Africa_Southern,biomassGrass_NileR_RFD_lo,2.17E-01,thous km2
Reference,Africa_Southern,biomassGrass_OrangeR_IRR_hi,2.6831E-06,thous km2
Reference,Africa_Southern,biomassGrass_OrangeR_IRR_lo,3.02496E-06,thous km2
Reference,Africa_Southern,biomassGrass_OrangeR_RFD_hi,0.00794518,thous km2
Reference,Africa_Southern,biomassGrass_OrangeR_RFD_lo,0.00899249,thous km2
Reference,Africa_Southern,biomassGrass_RiftValley_IRR_hi,0.000741982,thous km2
Reference,Africa_Southern,biomassGrass_RiftValley_IRR_lo,0.000831563,thous km2
Reference,Africa_Southern,biomassGrass_RiftValley_RFD_hi,0.14376,thous km2
Reference,Africa_Southern,biomassGrass_RiftValley_RFD_lo,0.162938,thous km2
Reference,Africa_Southern,biomassGrass_ZambeziR_IRR_hi,5.09E-03,thous km2
