# File: A26.td_nonenergy_cost_nonmineral.csv
# Title: Electricity transmission and distribution sector non-energy costs (excluding mineral costs)
# Units: $1975/GJ
# Description: Updates non-energy costs for the electricity transmission sectors to have regionally and time varying costs. Costs are total transmission and distribution costs minus mineral costs. Regional variation is based on regional variation in mineral costs which reflects disparities in transmission and distribution intensity (per unit electricity generation).
# Comment:
# Column types: ccccncn
# ----------
region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2035,non-energy,5.529230179
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2035,non-energy,0.904023857
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2035,non-energy,5.529230179
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2040,non-energy,5.10000718
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2040,non-energy,0.8562938
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2040,non-energy,5.10000718
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2045,non-energy,4.608283111
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2045,non-energy,0.793177048
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2045,non-energy,4.608283111
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2050,non-energy,4.20280253
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2050,non-energy,0.751585178
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2050,non-energy,4.20280253
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2055,non-energy,4.097096673
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2055,non-energy,0.724764288
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2055,non-energy,4.097096673
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2060,non-energy,3.991193603
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2060,non-energy,0.697746187
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2060,non-energy,3.991193603
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2065,non-energy,3.885290534
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2065,non-energy,0.670728085
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2065,non-energy,3.885290534
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2070,non-energy,3.779387464
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2070,non-energy,0.643709984
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2070,non-energy,3.779387464
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2075,non-energy,3.673484394
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2075,non-energy,0.616691882
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2075,non-energy,3.673484394
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2080,non-energy,3.567581325
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2080,non-energy,0.589673781
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2080,non-energy,3.567581325
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2085,non-energy,3.461875468
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2085,non-energy,0.562852891
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2085,non-energy,3.461875468
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2090,non-energy,3.355972398
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2090,non-energy,0.53583479
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2090,non-energy,3.355972398
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2095,non-energy,3.250069328
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2095,non-energy,0.508816688
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2095,non-energy,3.250069328
Africa_Western,elect_td_bld,elect_td_bld,elect_td_bld,2100,non-energy,3.144166259
Africa_Western,elect_td_ind,elect_td_ind,elect_td_ind,2100,non-energy,0.481798587
Africa_Western,elect_td_trn,elect_td_trn,elect_td_trn,2100,non-energy,3.144166259
Australia_NZ,elect_td_bld,elect_td_bld,elect_td_bld,2015,non-energy,2.28881108
Australia_NZ,elect_td_ind,elect_td_ind,elect_td_ind,2015,non-energy,0.350062609
Australia_NZ,elect_td_trn,elect_td_trn,elect_td_trn,2015,non-energy,2.28881108
Australia_NZ,elect_td_bld,elect_td_bld,elect_td_bld,2020,non-energy,2.207715987
Australia_NZ,elect_td_ind,elect_td_ind,elect_td_ind,2020,non-energy,0.345594945
Australia_NZ,elect_td_trn,elect_td_trn,elect_td_trn,2020,non-energy,2.207715987
Australia_NZ,elect_td_bld,elect_td_bld,elect_td_bld,2025,non-energy,2.106274616
Australia_NZ,elect_td_ind,elect_td_ind,elect_td_ind,2025,non-energy,0.336150641
Australia_NZ,elect_td_trn,elect_td_trn,elect_td_trn,2025,non-energy,2.106274616
Australia_NZ,elect_td_bld,elect_td_bld,elect_td_bld,2030,non-energy,1.974683423
Australia_NZ,elect_td_ind,elect_td_ind,elect_td_ind,2030,non-energy,0.319163522
Australia_NZ,elect_td_trn,elect_td_trn,elect_td_trn,2030,non-energy,1.974683423
Australia_NZ,elect_td_bld,elect_td_bld,elect_td_bld,2035,non-energy,1.832930691
