# File: A44.bld_floorspace_shares_reg.csv
# Title: Building sub-type floorspace shares by GCAM region
# Units: unitless
# Description: Building sub-type floorspace shares based on floorspace (stock) data from Deetman et al. 2020 for 26 IMAGE regions (reprocessed for GCAM regions). There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: cccnn
# ----------
region,sector,subsector,year,flsp_share
USA,comm floorspace,retail commercial,1975,0.158627357
USA,resid floorspace,semi-detached rural,1975,0.004832685
USA,resid floorspace,semi-detached urban,1975,0.047108
Africa_Eastern,resid floorspace,apartments rural,1990,0.044257638
Africa_Eastern,resid floorspace,apartments urban,1990,0.01907432
Africa_Eastern,resid floorspace,detached rural,1990,0.726997787
Africa_Eastern,resid floorspace,detached urban,1990,0.053452905
Africa_Eastern,comm floorspace,govern commercial,1990,0.913534556
Africa_Eastern,resid floorspace,high-rise rural,1990,0.03157883
Africa_Eastern,resid floorspace,high-rise urban,1990,0.027413584
Africa_Eastern,comm floorspace,hotels commercial,1990,0.044890012
Africa_Eastern,comm floorspace,office commercial,1990,0.024266967
Africa_Eastern,comm floorspace,retail commercial,1990,0.017308464
Africa_Eastern,resid floorspace,semi-detached rural,1990,0.065599878
Africa_Eastern,resid floorspace,semi-detached urban,1990,0.031625057
Africa_Northern,resid floorspace,apartments rural,1990,0.030081051
Africa_Northern,resid floorspace,apartments urban,1990,0.059404129
Africa_Northern,resid floorspace,detached rural,1990,0.494126183
Africa_Northern,resid floorspace,detached urban,1990,0.166471112
Africa_Northern,comm floorspace,govern commercial,1990,0.886704805
Africa_Northern,resid floorspace,high-rise rural,1990,0.021463514
Africa_Northern,resid floorspace,high-rise urban,1990,0.085375525
Africa_Northern,comm floorspace,hotels commercial,1990,0.050286718
Africa_Northern,comm floorspace,office commercial,1990,0.035939219
Africa_Northern,comm floorspace,retail commercial,1990,0.027069258
Africa_Northern,resid floorspace,semi-detached rural,1990,0.044586955
Africa_Northern,resid floorspace,semi-detached urban,1990,0.098491531
Africa_Southern,resid floorspace,apartments rural,1990,0.041682054
Africa_Southern,resid floorspace,apartments urban,1990,0.026401388
Africa_Southern,resid floorspace,detached rural,1990,0.684689976
Africa_Southern,resid floorspace,detached urban,1990,0.073985906
Africa_Southern,comm floorspace,govern commercial,1990,0.910950807
Africa_Southern,resid floorspace,high-rise rural,1990,0.029741093
Africa_Southern,resid floorspace,high-rise urban,1990,0.037944034
Africa_Southern,comm floorspace,hotels commercial,1990,0.045468544
Africa_Southern,comm floorspace,office commercial,1990,0.025377375
Africa_Southern,comm floorspace,retail commercial,1990,0.018203274
Africa_Southern,resid floorspace,semi-detached rural,1990,0.061782277
Africa_Southern,resid floorspace,semi-detached urban,1990,0.043773272
Africa_Western,resid floorspace,apartments rural,1990,0.037868109
Africa_Western,resid floorspace,apartments urban,1990,0.044618732
Africa_Western,resid floorspace,detached rural,1990,0.622040239
Africa_Western,resid floorspace,detached urban,1990,0.066005977
Africa_Western,comm floorspace,govern commercial,1990,0.910375678
Africa_Western,resid floorspace,high-rise rural,1990,0.027019757
Africa_Western,resid floorspace,high-rise urban,1990,0.067940282
Africa_Western,comm floorspace,hotels commercial,1990,0.045595369
Africa_Western,comm floorspace,office commercial,1990,0.025625084
Africa_Western,comm floorspace,retail commercial,1990,0.018403869
Africa_Western,resid floorspace,semi-detached rural,1990,0.056129144
Africa_Western,resid floorspace,semi-detached urban,1990,0.07837776
Argentina,resid floorspace,apartments rural,1990,0.016238274
Argentina,resid floorspace,apartments urban,1990,0.120550236
Argentina,resid floorspace,detached rural,1990,0.266737897
Argentina,resid floorspace,detached urban,1990,0.220177385
Argentina,comm floorspace,govern commercial,1990,0.859046542
