# File: IEA_CCUS_Projects_Database_2023.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2023
# Column types: cccciiiicnnnccc
# ----------
Project name,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub
In Salah,Algeria,"bp, Sonatrach, Equinor",Full chain,,,2014,2011,Decommissioned,,0.5,0.5,Natural gas processing,Dedicated storage,
Ince Bioenergy Carbon Capture and Storage (InBECCS) phase 2,United Kingdom,"Bioenergy Infrastructure Group (BIG), Peel NRE",Capture,2021,,,,Planned,1,,,Power and heat,Dedicated storage,Liverpool Bay CO2 storage
Indian Oil Corporation Koyali refinery,India,"Indian Oil Corporation (IOCL), Dastur, Air Liquide and BEG for FEED",Full chain,2021,,2025,,Planned,,0.7,0.7,Other fuel transformation,EOR and use,
Ineos Antwerp CCS,Belgium,INEOS,Capture,2021,2023,2030,,Planned,,,,Other industry,Unknown/unspecified,
INEOS Grangemouth refinery and hydrogen production,United Kingdom,"INEOS, Petroineos",Capture,2021,,2030,,Planned,,1,1,Hydrogen/ammonia,Dedicated storage,Acorn CCS
Innovative Integration of Carbon Capture for Clean Power (ALB),Canada,Heartland Generation Ltd,Capture,2022,,,,Planned,,,,Power and heat,Unknown/unspecified,
Inpex Abadi LNG,Indonesia,"Inpex 65%, Shell (trying to find a buyer for its shares)",Capture,2018,,2030,,Planned,,2.413793103,2.413793103,Natural gas processing,Unknown/unspecified,
"Integrated Mid-Continent Stacked Carbon Storage Hub CarbonSAFE (NB, KS)",United States,"Battelle Memorial Institute, ADM, Schlumberger Carbon Services, and the Geological Survey of the Nebraska Conservation and Survey Division",T&S,2017,,,,Planned,,1.9,1.9,CO2 T&S,Dedicated storage,"Integrated Mid-Continent Stacked Carbon Storage Hub CarbonSAFE (NB, KS)"
"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 1",United States,"Rwe, Lotte Chemical Corporation, Mitsubishi Corporation (JSA)",Capture,2023,,2030,,Planned,1,,,Hydrogen/ammonia,Unknown/unspecified,
"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 2",United States,"Rwe, Lotte Chemical Corporation, Mitsubishi Corporation (JSA)",Capture,2023,,,,Planned,2,10,10,Hydrogen/ammonia,Unknown/unspecified,
Itochu/Petronas ammonia project (ALB),Canada,"Itochu Corporation, Petronas Energy Canada Ltd",Full chain,2021,2023,2027,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
Jambaran Tiung Biru gas processing Sukowati oil field EOR,Indonesia,"Pertamina, Lemigas",Full chain,2020,2023,2028,,Planned,,0.9,2,Natural gas processing,EOR,
James M  Barry Electric Generating Plant CCUS (AL),United States,"Southern Company Services, Linde Gas North America LLC, GE Gas Power",Capture,2022,,2030,,Planned,,0.5,0.5,Power and heat,Unknown/unspecified,
Javelina Refinery CCS (TX),United States,"Port of Corpus Christi Authority, Howard Midstream",Capture,2021,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
Jiangsu Sailboat Green Methanol plant Shengong petrochemical,People's Republic of China," Jiangsu Sailboat Petrochemicals, Carbon Recycling International",CCU,2021,,,,Planned,,0.15,0.16,Other industry,Use,
Jiling Petrochemical CCUS (Nanjing refinery),People's Republic of China,Sinopec,Full chain,2021,2022,2023,,Operational,,0.1,0.1,Other fuel transformation,EOR,Jiangsu oilfield
J-Power Sumitomo joint feasibility clean hydrogen Latrobe Valley (VI),Australia,"J-Power, Sumitomo corporation",Full chain,2023,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
Jubail CCS Hub agreement,Saudi Arabia,"Saudi Aramco, SLB, Linde",T&S,2022,,2027,,Planned,,9,9,CO2 T&S,Dedicated storage,Jubail CCS hub
K6 Program- Lumbres cement plant,France,"EQIOM, Air Liquide, France Industries, VDZ",Capture,2021,2026,2028,,Planned,,0.81,0.81,Cement,Dedicated storage,
Kairos@C,Belgium,"Air Liquide, BASF",Capture,2021,2023,2025,,Planned,,1.42,1.42,Other industry,Dedicated storage,
Karamay Xinjiang Dunhua methanol plant,People's Republic of China,Dunhua Oil Company,Full chain,,,2015,,Operational,,0.1,0.1,Other industry,EOR,
Keadby 3 Carbon Capture Power Station,United Kingdom,"SSE Thermal, Equinor, FEED: Aker Solutions, Siemens Energy and Doosan Babcock",Capture,2020,,2028,,Planned,,1.5,1.5,Power and heat,Dedicated storage,Northern Endurance Partnership
Keadby Hydrogen Power Station Project,United Kingdom,"SSE Thermal, Equinor, Fugro (ground investigation contract)",Capture,2021,,2029,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Northern Endurance Partnership
Kemper county CCUS (MS),United States,"Mississippi Power, Souther Energy",Full chain,,2010,2017,2017,Decommissioned,,3,3,Power and heat,EOR,
Kern River Eastridge cogeneration plant San Joaquin Valley (CA),United States,Chevron,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,
KeyState Natural Gas Synthesis & CCUS (PA),United States,KeyState,Full chain,2021,,2024,,Planned,,0.104,0.104,Other industry,Dedicated storage,
Kollsnes DAC facility,Norway,"Carbon Removal, Carbon Engineering, Oxy Low Carbon Ventures ",Full chain,2021,,,,Planned,,0.5,1,Direct Air Capture,Dedicated storage,
KVA Linth Waste-to-Energy Bergen,Switzerland,"KVA Linth, Aker Carbon Capture",Capture,2020,,2025,,Planned,,0.1,0.1,Power and heat,Unknown/unspecified,
L10 CCS,Netherlands,"Neptune, EBN & Rosewood Exploration & XTO Netherlands (Feasibility study)",T&S,2021,2023,2026,,Planned,,4,5,CO2 T&S,Dedicated storage,L10 CCS
Labarge Shute Creek Gas Processing Plant 1.2 Mtpa expansion (WY),United States,ExxonMobil ,Full chain,2021,2022,2025,,Under construction,,1.2,1.2,Natural gas processing,Unknown/unspecified,
Labarge Shute Creek Gas Processing Plant 2010 expansion (WY),United States,ExxonMobil,Full chain,2008,2008,2010,,Operational,2,3.5,3.5,Natural gas processing,EOR,
Labarge Shute Creek Gas Processing Plant original (WY),United States,ExxonMobil,Full chain,,1984,1986,,Operational,1,3.5,3.5,Natural gas processing,EOR,
LafargeHolcim Hover cement works Hannover phase 2,Germany,"Holcim Group, Cool Planet Technologies",Capture,2021,,2024,,Planned,1,0.194,0.184,Cement,Unknown/unspecified,
LafargeHolcim Hover cement works Hannover phase 3,Germany,"Holcim Group, Cool Planet Technologies",Capture,2021,,2028,,Planned,2,0.8,0.8,Cement,Unknown/unspecified,
LafargeHolcim Ste Genevieve plant (MO),United States,"University of Illinois, Holcim Group, Air Liquide",Capture,2021,,,,Planned,,2.9,2.9,Cement,Dedicated storage,
Lake Charles Methanol (LA),United States,"Denbury, Fluor",Capture,2009,2023,2025,,Planned,,4,4.2,Other industry,Use and storage,
Lapis Energy El Dorado (AR),United States,"Lapis Energy, LSB",Full chain,2022,,2025,,Planned,,0.45,0.45,Hydrogen/ammonia,Dedicated storage,
Large-Scale and Wide-Area Carbon Capture and Storage,Japan,"ITOCHU, Mitsubishi HI, INPEX, Taisei",T&S,2023,,2030,,Planned,,,,CO2 T&S,Dedicated storage,Large-Scale and Wide-Area Carbon Capture and Storage
LG&E Cane Run NGCC CR7 (KY),United States,"LG&E Cane Run, Electric Power Research Institute (FEED), University of Kentucky (tech), DOE (FEED funding)",Capture,2022,,,,Planned,,1.7,1.7,Power and heat,Unknown/unspecified,
Lincolnway Energy Nevada biorefinery (IA),United States,"Lincolnway Energy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.22,0.257,Biofuels,Dedicated storage,Midwest carbon express
Linde hydrogen plant for OCI fertilizer blue ammonia Beaumont (TX),United States,"Linde (owns, builds, operates)",Capture,2022,2023,2025,,Under construction,,1.7,1.7,Hydrogen/ammonia,Dedicated storage,
Linde-BASF capture SMR plant Covent (LA),United States,Praxair,Capture,2020,,,,Planned,,1.36145,1.36145,Hydrogen/ammonia,Unknown/unspecified,
Linde-bp Texas CCS H2 (TX)-Transport and storage,United States,"BP, Linde",T&S,2022,,,,Planned,,15,15,CO2 T&S,Dedicated storage,Linde-bp Texas CCS H2 (TX)-Transport and storage
LIPOR Maia Energy Recovery Plant PtL facility,Portugal,"LIPOR (Intermunicipal Waste Management of Greater Porto), P2X Europe and Veolia",CCU,2022,,,,Planned,,0.1,0.1,Power and heat,Use,
Little Sioux Corn Processors Marcus biorefinery (IA),United States,"Little Sioux Corn Processors, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.39,0.458,Biofuels,Dedicated storage,Midwest carbon express
Liverpool Bay CO2 storage phase 1,United Kingdom,Eni,T&S,2020,,2025,,Planned,1,4.5,4.5,CO2 T&S,Dedicated storage,Liverpool Bay CO2 storage
Liverpool Bay CO2 storage phase 2,United Kingdom,Eni,T&S,2020,,2030,,Planned,2,5.5,5.5,CO2 T&S,Dedicated storage,Liverpool Bay CO2 storage
Lone Cypress Hydrogen project (CA),United States,"Lone Cypress Energy services, California Resources Corporation (Carbon TerraVault)",Full chain,2022,2023,2025,,Planned,,0.1,0.1,Hydrogen/ammonia,Dedicated storage,Elk Hills field
Longford gas plant,Australia,ExxonMobil,Capture,2022,,2025,,Planned,,2,2,Natural gas processing,Dedicated storage,SEA CCS
Lost Cabin Gas Plant (WY),United States,"Contango Oil & Gas (bought plant in 2021 from Conocophillips), Denbury",Full chain,2010,2011,2013,,Operational,,0.9,0.9,Natural gas processing,EOR,
Louis Dreyfus Grand Junction biorefinery (IA),United States,"Louis Dreyfus Grand Junction, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.29,0.343,Biofuels,Dedicated storage,Midwest carbon express
Louis Dreyfus Norfolk biorefinery (IA),United States,"Louis Dreyfus Norfolk, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.13,0.152,Biofuels,Dedicated storage,Midwest carbon express
Louisiana Green Fuels Project  (LA),United States,Strategic Biofuels LLC,Full chain,2021,2023,2027,,Planned,,,,Biofuels,Dedicated storage,
Lyse Forus Energigjenvinning Stavanger ,Norway,"Lyse, Forus Energi, Aker CC (tech)",Capture,2021,,2024,,Planned,,0.1,0.1,Power and heat,Dedicated storage,
Marquis Industrial Complex (IL),United States,Marquis Inc.,Full chain,2022,,,,Planned,,,,Biofuels,Dedicated storage,
Marubeni Pertamina pulp mill BECCS project,Indonesia,"Marubeni Corp, Pertamina",Capture,2022,,,,Planned,,,,Other industry,Dedicated storage,
Maskwa Project (ALB),Canada, Kiwetinohk Energy Corp.,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Maskwa Project (ALB)
Meadowbrook storage hub (ALB),Canada,"Bison Low Carbon Ventures , Enerflex, PrairieSky Royalty, IRC Enterprises",Storage,2022,,2025,,Planned,,3,3,CO2 storage,Dedicated storage,Meadowbrook storage hub (ALB)
Medway CCGT power station,United Kingdom,Oilex,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,Medway Hub CCS
Medway CCS Hub,United Kingdom,Oilex,T&S,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Medway Hub CCS
Mendota BECCS power project (Clean Energy Systems Carbon Negative Energy Plant - Central Valley) (CA),United States,"Schlumberger New Energy, Chevron Corp., Microsoft and Clean Energy Systems
Chevron Corporation, Schlumberger New Energy, Microsoft and Clean Energy Systems",Full chain,2021,2023,2025,,Planned,,0.3,0.3,Power and heat,Dedicated storage,
MEPAU Mid West CCUS hub,Australia,"Mitsui E&P Australia (MEPAU), JOGMEC",Full chain,2021,,2028,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Mid West CCUS hub
Merritt Electrofuels Project DAC (BC),Canada,"Huron Clean Energy , Oxy Low Carbon Ventures, Upper Nicola Band and Carbon Engineering ",CCU,2021,2023,2026,,Planned,,0.25,0.25,Direct Air Capture,Use,
Mid West Clean Energy Project,Australia,"Pilot Energy, Warrego Energy, APA group
",Full chain,2021,,2025,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
Midwest AgEnergy Blue Flint ethanol (ND),United States,Midwest Ag Energy,Full chain,2020,,2023,,Planned,,0.2,0.2,Biofuels,Dedicated storage,
"Midwest Carbon Express (NE, SD, ND, MI, IA)",United States,Summit carbon solutions (SK E&S 10%),T&S,2021,2023,2024,,Planned,,12,12,CO2 T&S,Dedicated storage,Midwest carbon express
Mikawa Power Plant BECCS Fukuoka Prefecture,Japan,"SIGMA Power Ariake (Toshiba), ESS",Capture,2016,2017,2020,,Operational,,0.18,0.18,Power and heat,Unknown/unspecified,
Mineral carbonation international Carbon Plant demonstrator,Australia,Mineral Carbonation International,CCU,2021,,2023,,Under construction,,0.3,0.3,Other industry,Use,
Minnkota-Summit Carbon Solutions storage (ND),United States,"Summit Carbon solutions, Minnkota",Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,
Mitchell CarbonSAFE (IL),United States,Board of Trustees of the University of Illinois,Storage,2023,,,,Planned,,1.666666667,1.666666667,CO2 storage,Dedicated storage,Mitchell CarbonSAFE (IL)
MOL Szank field CO2 EOR,Hungary,MOL group,Full chain,,,1992,,Operational,,0.16,0.16,Natural gas processing,EOR,
Moomba Carbon Capture and Storage,Australia,"Santos, Beach Energy",Full chain,2019,2021,2024,,Under construction,1,1.7,1.7,Natural gas processing,Dedicated storage,Moomba storage hub
Mote biomass-to-hydrogen plant (CA),United States,"Mote, CarbonCure, Fluor Corporation, SungasRenewables",Capture,2021,,2025,,Planned,,0.14,0.14,Hydrogen/ammonia,Use and storage,
MoU ADNOC ENEOS Mitsui Ruwais Industrial Area (2  phases?),United Arab Emirates,"ADNOC, ENEOS, Mitsui",Capture,2022,,,,Planned,,,,Other industry,Unknown/unspecified,
Muara Enim Downstream Coal to Dimethyl Ether (DME) Project,Indonesia,Pertamina,Capture,2021,,2024,,Planned,,,,Other fuel transformation,EOR,
Multi-user Burrup CCUS hub and network (Karratha CCS Project),Australia,"Woodside, bp, Shell, Chevron, MIMI (50/50 Mitsubishi and Mitsui)",T&S,2022,,,,Planned,,,,CO2 T&S,Dedicated storage,Burrup CCUS hub
Mustang Station Carbon Capture (TX),United States,"Golden Spread Electric Cooperative,  University of Texas at Austin ",Full chain,2019,,2025,,Planned,,1.5,1.5,Power and heat,EOR,
Nanhai petrochemical plant-Capture for Daya bay CCS,People's Republic of China,Shell,Capture,2022,,,,Planned,,,,Other industry,Dedicated storage,Daya bay CCS Hub
Nauticol and Enhance Energy blue methanol project (ALB),Canada,"Nauticol, Enhance Energy",Capture,2021,,2025,,Planned,,1,0.9,Other industry,EOR,Alberta Carbon Trunk Line (ACTL)
Neptune Energy L10 Area CCS development phase 1,Netherlands,"Neptune Energy, EBN, Rosewood Exploration, and XTO Netherlands",T&S,2020,,,,Planned,1,5,5,CO2 T&S,Dedicated storage,Neptune Energy L10
Neptune Energy L10 Area CCS development phase 2,Netherlands,"Neptune Energy, EBN, Rosewood Exploration, and XTO Netherlands",T&S,2020,,,,Planned,2,3,3,CO2 T&S,Dedicated storage,Neptune Energy L10
Net Power Odessa gas plant (TX),United States,"Net Power, Oxy (T&S), 8 Rivers capital (funding)",Full chain,2022,,2026,,Planned,,,,Power and heat,Dedicated storage,Oxy CO2 sequestration hub (TX)
Net Zero Teesside Power,United Kingdom,"BP, Equinor, Technip Energies (FEED), GE Gas Power (FEED)",Capture,2018,2023,2026,,Planned,,2,2,Power and heat,Dedicated storage,Northern Endurance Partnership
NextDecade Rio Grande LNG (TX),United States,"NextDecade, Mitsubishi HI (ESA/Tech)",Full chain,2021,2023,2025,,Planned,,5,5,Natural gas processing,Unknown/unspecified,Houston CCS Hub
Niigata East Port CCUS Hub & Cluster,Japan,JAPEX,T&S,2022,,2030,,Planned,,,,CO2 T&S,Dedicated storage,Niigata East Port CCUS Hub & Cluster
Norcem Brevik,Norway,"Norcem, Aker CC (tech)",Capture,2016,2020,2024,,Under construction,,0.4,0.4,Cement,Dedicated storage,Northern Lights
Norske Skog Saugbrugs (Borg CO2),Norway,"Borg Havn, Norske Skog Saugbrugs",Capture,2019,,,,Planned,,0.27,0.27,Other industry,Dedicated storage,Northern Lights
North Drumheller Hub (ALB),Canada, Bison Low Carbon Ventures Inc. ,Storage,2022,,,,Planned,,3,3,CO2 storage,Dedicated storage,North Drumheller Hub (ALB)
North East Alliance blue ammonia Yakutia Phase 1,Russian Federation,"North East Alliance, Gas production companies in Western Yakutia
",Full chain,2021,,2026,,Planned,1,,,Hydrogen/ammonia,EOR,
North East Alliance blue ammonia Yakutia Phase 2,Russian Federation,"North East Alliance, Gas production companies in Western Yakutia
",Full chain,2021,,2030,,Planned,2,,,Hydrogen/ammonia,EOR,
Northeast Scotland DAC,United Kingdom,"Storegga, Carbon Engineering. This project is led by Storegga, through its wholly owned subsidiary Pale Blue Dot Energy, with technology partner Carbon Engineering (CE), engineering partner Petrofac Facilities Management, and support from the Universities of Cambridge and Edinburgh.",Capture,2021,,2026,,Planned,,0.5,1,Direct Air Capture,Dedicated storage,Acorn CCS
Northern America Edmonton Cement (ALB),Canada,"Heidelberg Materials (Lehigh Cement), Enbridge, Mitsubishi HI (feasibility)",Capture,2019,,2026,,Planned,,0.6,0.78,Cement,Dedicated storage, Open Access Wabamun Carbon Hub
Northern Endurance Partnership,United Kingdom,"BP, National Grid, Equinor, Shell and Total (partners), Worley (technical advisors)",T&S,2020,,,,Planned,,4,4,CO2 T&S,Dedicated storage,Northern Endurance Partnership
Northern Lights Phase 1,Norway,"Shell, TotalEnergies, Equinor, Yara Slusiskil (Source of CO2) ",T&S,2017,2020,2024,,Under construction,1,1.5,1.5,CO2 T&S,Dedicated storage,Northern Lights
Northern Lights Phase 2,Norway,"Shell, TotalEnergies, Equinor",T&S,2017,,2026,,Planned,2,3.7,3.7,CO2 T&S,Dedicated storage,Northern Lights
Northern Plains Nitrogen Blue ammonia (ND),United States,"Northern Plains Nitrogen, Summit Carbon Solutions (T&S)",Capture,2013,2023,,,Planned,,0.5,0.5,Other industry,Dedicated storage,Midwest carbon express
Novatek Obskiy Gas Chemical Complex Blue ammonia,Russian Federation,Novatek,Full chain,2021,,2027,,Planned,,,,Hydrogen/ammonia,Dedicated storage,
NWR CO2 Recovery Unit (Sturgeon Refinery) (ACTL) (ALB),Canada,Northwest Redwater Partnership,Capture,2011,2014,2020,,Operational,,1.3,1.3,Other fuel transformation,EOR,Alberta Carbon Trunk Line (ACTL)
OCI Fertilizer plant phase 1,United States,"OCI, Enerflex (CO2 capture), Blackrock (funding), Navigor (T)",Capture,2021,2022,2025,,Under construction,1,0.45,0.45,Other industry,Dedicated storage,Heartland Greenway
OCI Fertilizer plant phase 2,United States,"OCI, Enerflex (CO2 capture), Blackrock (funding), Navigor (T)",Capture,2021,,,,Planned,2,0.25,0.25,Other industry,Dedicated storage,Heartland Greenway
Oil Sands CCUS Pathways to Net Zero (ALB) (14 facilities),Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",Capture,2022,,2030,,Planned,,10,12,Other fuel transformation,Unknown/unspecified,Oil Sands CCUS Pathways to Net Zero
Oil Sands CCUS Pathways to Net Zero (ALB) (T&S),Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",T&S,2022,,2030,,Planned,,10,12,CO2 T&S,Unknown/unspecified,Oil Sands CCUS Pathways to Net Zero
Omifco ammonia capture,Oman,"OQ group, Omifco",Capture,2023,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
One Earth Energy ethanol CCS (IL),United States,One Earth Energy,Full chain,2020,,,,Planned,,0.45,1.7,Biofuels,Dedicated storage,Illinois Storage Corridor
Opal Carbon Hub (ALB),Canada, Kiwetinohk Energy Corp.,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Opal Carbon Hub (ALB)
Open Access Wabamun Carbon Hub (ALB),Canada,"Enbridge, Capital Power, Lehigh Cement and  First Nation Capital Investment Partnership (FNCIP)",Storage,2022,,,,Planned,,4,4,CO2 T&S,Dedicated storage,Open Access Wabamun Carbon Hub
Origins Project (ALB),Canada,Enhance Energy,Storage,2022,,2024,,Planned,,20,20,CO2 storage,Dedicated storage,Origins Project
Oslo Waste to Energy Capture Klemetsrud,Norway,Hafslund Oslo Celsio (formerly Fortum Oslo Varme),Capture,2016,2022,2025,,Under construction,,0.4,0.4,Power and heat,Dedicated storage,Northern Lights
Oxy BlueBonnet CO2 sequestration hub (TX),United States,"1PointFive (Oxy Low carbon ventures), Natural Resource Partners L.P",Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Oxy CO2 sequestration hub (TX)
Oxy CE DAC 100 plants announcement (- 30 in Texas) expansion 2030,Unknown,"1PointFive, Carbon Engineering",Full chain,2022,,2030,,Planned,1,,,Direct Air Capture,Dedicated storage,
Oxy CE DAC 100 plants announcement (- 30 in Texas) expansion 2035,Unknown,"1PointFive, Carbon Engineering",Full chain,2022,,2035,,Planned,2,,,Direct Air Capture,Dedicated storage,
Oxy CE Kleberg County DAC plants (TX),United States,"Occidental, 1PointFive, Carbon Engineering",Capture,2022,,2025,,Planned,1,1,1,Direct Air Capture,Dedicated storage,Oxy CO2 sequestration hub (TX)
Oxy CE Kleberg County DAC plants (TX) expansion 2030 (15 plants),United States,"Occidental, 1PointFive, Carbon Engineering",Capture,2022,,2030,,Planned,2,,,Direct Air Capture,Dedicated storage,Oxy CO2 sequestration hub (TX)
Oxy CE Kleberg County DAC plants (TX) expansion 2035 (15 plants),United States,"Occidental, 1PointFive, Carbon Engineering",Capture,2022,,2035,,Planned,3,,,Direct Air Capture,Dedicated storage,Oxy CO2 sequestration hub (TX)
Papua LNG CCS,Papua New Guinea,Total Energies,Full chain,2018,2023,2027,,Planned,,1,1,Natural gas processing,Dedicated storage,
PCS Nitrogen Geismar Ammonia plant (LA),United States,"Nutrien, Denbury",Full chain,2022,2023,2027,,Planned,,1.2,1.8,Hydrogen/ammonia,Dedicated storage,
PCS Nitrogen-Geismar plant (LA),United States,"Nutrien, Denbury",Full chain,2011,2011,2013,,Operational,,0.2,0.3,Other industry,EOR,
Pecos County Ultra Clean Fuels Refining (TX),United States,MMEX,Capture,2021,,,,Planned,,,,Other fuel transformation,EOR,
Pembroke Net Zero Centre (PNZC),United Kingdom,RWE,Capture,2022,2023,2040,,Planned,,,,Power and heat,Dedicated storage,
Peterhead Carbon Capture Power Station,United Kingdom,"SSE Thermal, Equinor",Capture,2021,2023,2030,,Planned,,1.5,1.5,Power and heat,Dedicated storage,Acorn CCS
Petra Nova Carbon Capture (TX),United States,"Equity: NRG and JX Nippon, Debt: JBIC & Mizhou bank (backed by NEXI)",Full chain,2009,2014,2016,2020,Suspended,,1.4,1.4,Power and heat,EOR,
Petrobras Santos Basin pre-salt oilfield CCS,Brazil,Petrobas,Full chain,2011,,2013,,Operational,,3,8.7,Natural gas processing,EOR,
Petronas Kasawari gas field CCS project (Kasawari Phase 2 project),Malaysia,"Petronas, Technip, National Petroleum Construction Company, Baker Hughes (compressor)",Full chain,2020,2022,2025,,Under construction,,3.3,3.3,Natural gas processing,Dedicated storage,
Phillips 66 Humber refinery,United Kingdom,"Phillips 66, Babcock & Wilcox (FEED)",Capture,2021,,2028,,Planned,,4,4,Other fuel transformation,Dedicated storage,Viking CCS
Pieridae Caroline Carbon Capture Power Complex Phase 1 (ALB),Canada,Pieridae Energy Ltd.,Full chain,2021,,,,Planned,1,1,1,Power and heat,Dedicated storage,
Pieridae Caroline Carbon Capture Power Complex Phase 2 (ALB),Canada,Pieridae Energy Ltd.,Full chain,2021,,,,Planned,2,2,2,Power and heat,Dedicated storage,
Pincher Creek Carbon Sequestration Hub (ALB),Canada, West Lake Energy Corp.,Storage,2022,,,,Planned,,2.7,2.7,CO2 storage,Dedicated storage,Pincher Creek Carbon Sequestration Hub (ALB)
Pine Lake Corn Processors Steamboat Rock biorefinery (IA),United States,"Pine Lake Corn Processors, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.19,0.229,Biofuels,Dedicated storage,Midwest carbon express
Plant Daniel Carbon Capture (MS) ,United States,"Southern Company Services, Linde Gas North America LLC",Capture,2019,,2025,,Planned,,1.8,1.8,Power and heat,Dedicated storage,ECO2S
Plymouth Energy Merrill biorefinery (IA),United States,"Plymouth Energy, Summit Carbon Solutions",Capture,2021,2023,2024,,Planned,,0.13,0.157,Biofuels,Dedicated storage,Midwest carbon express
"POET 18 bioprocessing plants (IA, NE, SD)",United States,POET,Capture,2021,,2025,,Planned,,5,5,Biofuels,Dedicated storage,Heartland Greenway
Polaris CCS capture (ALB),Canada,Shell,Capture,2021,2023,2025,,Planned,1,0.75,0.75,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub
Polaris offshore storage facility,Norway,"Horisont Energi, Fertiberia ",Storage,2021,2023,,,Planned,,,,CO2 storage,Dedicated storage,Polaris offshore storage facility
Port of Aalborg terminal and pipeline to Fyrkat,Denmark,Capio Danmark,Transport,2022,,2026,,Planned,,4,4,CO2 transport,,NORNE
Port of Kalundborg terminal and pipeline to Trelleborg phase 1,Denmark,Capio Danmark,Transport,2022,,2026,,Planned,1,4,4,CO2 transport,,NORNE
Port of Kalundborg terminal and pipeline to Trelleborg phase 2,Denmark,Capio Danmark,Transport,2022,,2030,,Planned,2,8,8,CO2 transport,,NORNE
Porthos phase 1,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",T&S,2018,2023,2025,,Planned,1,2.5,2.5,CO2 T&S,Dedicated storage,Porthos
Porthos phase 2,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",T&S,2018,,,,Planned,2,2.5,2.5,CO2 T&S,Dedicated storage,Porthos
Prairie State Generating Station Carbon Capture (IL),United States,"Prairie Research Institute (University of Illinois), Mitsubishi Heavy Industries, Kiewit Engineering Group, Sargent & Lundy",Full chain,2019,,2025,,Planned,,5,7.2,Power and heat,Dedicated storage,Illinois Storage Corridor
Prax Lindsey Oil Refinery Phase 1,United Kingdom,Prax,Capture,2021,,2027,,Planned,1,0.55,0.55,Other fuel transformation,Dedicated storage,Viking CCS
Prax Lindsey Oil Refinery Phase 2,United Kingdom,Prax,Capture,2021,,2029,,Planned,2,0.55,0.55,Other fuel transformation,Dedicated storage,Viking CCS
Preem CCS at Lysekil refinery,Sweden,"Preem, Aker solutions, Equinor",Capture,2018,,2025,,Planned,,0.6,0.6,Other fuel transformation,Dedicated storage,Northern Lights
Prinos CCS phase 1,Greece,Energean,T&S,2021,,2027,,Planned,2,2,2,CO2 T&S,Dedicated storage,Prinos CO2 storage
Prinos CCS phase 1,Greece,Energean,T&S,2021,,2025,,Planned,1,1,1,CO2 T&S,Dedicated storage,Prinos CO2 storage
Prinos sigma plant,Greece,Energean,Capture,2022,,2025,,Planned,,1,1,Natural gas processing,Dedicated storage,Prinos CO2 storage
Project Air,Sweden,"Perstorp Oxo AB (capture and methanol), FORTUM SVERIGE AB (hydrogen), Sydkraft AB",CCU,2020,,2025,,Planned,,0.5,0.5,Biofuels,Use,
Project Bifrost Phase 1,Denmark," Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",T&S,2021,,2030,,Planned,1,2,3,CO2 T&S,Dedicated storage,Project Bifrost
Project Bifrost Phase 2,Denmark," Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",T&S,2021,,2032,,Planned,2,10,10,CO2 T&S,Dedicated storage,Project Bifrost
Project Bison (WY) Phase 1,United States,"CarbonCapture, Frontier Carbon Solutions",Full chain,2022,,2024,,Planned,1,0.01,0.01,Direct Air Capture,Dedicated storage,
