# File: Diet_3C_Ref.csv
# Title: 3C Ref diet by region and sector
# Units: Pcal
# Description: Need 2020 and 2025 values
# Column types: cccnn
# ----------
scenario,region,technology,year,value
3C,Canada,Vegetables,2025,0.684513
3C,Canada,Wheat,2015,5.15372
3C,Canada,Wheat,2020,5.50415
3C,Canada,Wheat,2025,5.63969
3C,Central America and Caribbean,Beef,2015,1.21279
3C,Central America and Caribbean,Beef,2020,1.27433
3C,Central America and Caribbean,Beef,2025,1.3814
3C,Central America and Caribbean,Corn,2015,11.2466
3C,Central America and Caribbean,Corn,2020,11.9143
3C,Central America and Caribbean,Corn,2025,12.3138
3C,Central America and Caribbean,Dairy,2015,3.52338
3C,Central America and Caribbean,Dairy,2020,3.67866
3C,Central America and Caribbean,Dairy,2025,3.97152
3C,Central America and Caribbean,FiberCrop,2015,0.0088499
3C,Central America and Caribbean,FiberCrop,2020,0.00927513
3C,Central America and Caribbean,FiberCrop,2025,0.0100477
3C,Central America and Caribbean,Fruits,2015,3.77218
3C,Central America and Caribbean,Fruits,2020,3.94244
3C,Central America and Caribbean,Fruits,2025,4.25923
3C,Central America and Caribbean,Legumes,2015,3.06212
3C,Central America and Caribbean,Legumes,2020,3.23216
3C,Central America and Caribbean,Legumes,2025,3.52014
3C,Central America and Caribbean,MiscCrop,2015,0.338334
3C,Central America and Caribbean,MiscCrop,2020,0.354137
3C,Central America and Caribbean,MiscCrop,2025,0.383211
3C,Central America and Caribbean,NutsSeeds,2015,0.52805
3C,Central America and Caribbean,NutsSeeds,2020,0.551162
3C,Central America and Caribbean,NutsSeeds,2025,0.597442
3C,Central America and Caribbean,OilCrop,2015,1.2439
3C,Central America and Caribbean,OilCrop,2020,1.30747
3C,Central America and Caribbean,OilCrop,2025,1.4222
3C,Central America and Caribbean,OilPalm,2015,2.71966
3C,Central America and Caribbean,OilPalm,2020,2.84496
3C,Central America and Caribbean,OilPalm,2025,3.06928
3C,Central America and Caribbean,OtherGrain,2015,1.50796
3C,Central America and Caribbean,OtherGrain,2020,1.60101
3C,Central America and Caribbean,OtherGrain,2025,1.65878
3C,Central America and Caribbean,OtherMeat_Fish,2015,1.01586
3C,Central America and Caribbean,OtherMeat_Fish,2020,1.05958
3C,Central America and Caribbean,OtherMeat_Fish,2025,1.14334
3C,Central America and Caribbean,Pork,2015,1.52933
3C,Central America and Caribbean,Pork,2020,1.60179
3C,Central America and Caribbean,Pork,2025,1.7333
3C,Central America and Caribbean,Poultry,2015,3.02068
3C,Central America and Caribbean,Poultry,2020,3.15811
3C,Central America and Caribbean,Poultry,2025,3.41778
3C,Central America and Caribbean,Rice,2015,8.70327
3C,Central America and Caribbean,Rice,2020,9.16561
3C,Central America and Caribbean,Rice,2025,9.4386
3C,Central America and Caribbean,RootTuber,2015,2.71886
3C,Central America and Caribbean,RootTuber,2020,2.86904
3C,Central America and Caribbean,RootTuber,2025,2.95157
3C,Central America and Caribbean,SheepGoat,2015,0.0548234
3C,Central America and Caribbean,SheepGoat,2020,0.0573744
3C,Central America and Caribbean,SheepGoat,2025,0.0618554
3C,Central America and Caribbean,Soybean,2015,3.43792
3C,Central America and Caribbean,Soybean,2020,3.61919
3C,Central America and Caribbean,Soybean,2025,3.95691
3C,Central America and Caribbean,SugarCrop,2015,10.3569
