# File:GCAM_Near_Term_Intake_Reference.csv
# Title: GCAM Ref diet by region and sector
# Units: Pcal
# Description: Need 2025 or more recent projection values for near term calibration to have delayed scenarios. Values here were pulled from a GCAM Ref with no dietary change from query food consumption by type (specific)
# Column types: cccnnn
# ----------
scenario,region,technology,2020,2021,2025
reference,EU-15,Soybean,9.65516,9.77584,9.89531
reference,EU-15,OtherGrain,14.1844,14.4923,14.5325
reference,EU-15,Beef,7.75047,7.62867,7.71597
reference,EU-15,Dairy,50.4665,51.5633,52.1939
reference,EU-15,OtherMeat_Fish,9.13778,9.13309,9.24908
reference,EU-15,Pork,23.5586,23.0954,23.3769
reference,EU-15,Poultry,14.5297,14.6385,14.8214
reference,EU-15,SheepGoat,1.20859,1.1959,1.21042
reference,EU-15,Legumes,2.87801,2.89609,2.93804
reference,EU-15,NutsSeeds,7.41742,7.59975,7.69388
reference,EU-15,Rice,5.98286,6.09727,6.1161
reference,EU-15,RootTuber,11.1842,11.0527,11.0897
reference,EU-15,SugarCrop,34.4697,33.8004,34.1378
reference,EU-15,Wheat,72.0964,72.0641,72.2051
reference,Europe_Eastern,Corn,2.77878,2.60764,2.32022
reference,Europe_Eastern,Fruits,1.32112,1.20067,1.03262
reference,Europe_Eastern,Vegetables,1.7554,1.64824,1.41781
reference,Europe_Eastern,MiscCrop,0.610888,0.617716,0.533965
reference,Europe_Eastern,FiberCrop,0,0,0
reference,Europe_Eastern,OilCrop,2.99549,3.01721,2.58971
reference,Europe_Eastern,OilPalm,9.68E-04,0.002228,0.00191715
reference,Europe_Eastern,Soybean,0.26711,0.295661,0.254122
reference,Europe_Eastern,OtherGrain,3.5126,2.91855,2.60505
reference,Europe_Eastern,Beef,1.03126,0.960147,0.827364
reference,Europe_Eastern,Dairy,5.97147,5.59129,4.80588
reference,Europe_Eastern,OtherMeat_Fish,1.10918,1.07096,0.919788
reference,Europe_Eastern,Pork,2.17283,2.06762,1.78007
reference,Europe_Eastern,Poultry,2.84859,2.69902,2.32348
reference,Europe_Eastern,SheepGoat,0.0219227,0.0199771,0.0172249
reference,Europe_Eastern,Legumes,0.339612,0.318078,0.273922
reference,Europe_Eastern,NutsSeeds,0.399259,0.378836,0.324941
reference,Europe_Eastern,Rice,0.446199,0.418175,0.371536
reference,Europe_Eastern,RootTuber,4.08676,4.01242,3.57171
reference,Europe_Eastern,SugarCrop,5.85922,5.71406,4.94018
reference,Europe_Eastern,Wheat,11.6034,11.6901,10.3924
reference,Europe_Non_EU,Corn,3.70748,3.67716,3.72173
reference,Europe_Non_EU,Fruits,3.7997,4.05456,4.20838
reference,Europe_Non_EU,Vegetables,3.35849,3.31683,3.44257
reference,Europe_Non_EU,MiscCrop,1.97013,2.17177,2.26008
reference,Europe_Non_EU,FiberCrop,0.916659,0.830145,0.86159
reference,Europe_Non_EU,OilCrop,5.40565,6.48167,6.72738
reference,Europe_Non_EU,OilPalm,3.10428,3.31535,3.45224
reference,Europe_Non_EU,Soybean,0.0875624,0.0880001,0.0912137
reference,Europe_Non_EU,OtherGrain,1.33105,1.29421,1.31191
reference,Europe_Non_EU,Beef,2.27772,2.43211,2.52281
reference,Europe_Non_EU,Dairy,12.5518,12.1396,12.547
reference,Europe_Non_EU,OtherMeat_Fish,1.0408,1.09835,1.14294
reference,Europe_Non_EU,Pork,0.897709,0.910034,0.94637
reference,Europe_Non_EU,Poultry,2.99901,3.01976,3.14165
reference,Europe_Non_EU,SheepGoat,0.664715,0.818164,0.850193
reference,Europe_Non_EU,Legumes,2.61046,2.6124,2.70879
reference,Europe_Non_EU,NutsSeeds,2.73619,2.81313,2.91376
reference,Europe_Non_EU,Rice,2.09808,2.04533,2.07057
reference,Europe_Non_EU,RootTuber,2.30532,2.29834,2.33236
reference,Europe_Non_EU,SugarCrop,7.14629,7.2127,7.47692
reference,Europe_Non_EU,Wheat,32.2158,31.9112,32.4544
reference,European Free Trade Association,Corn,0.0127535,0.0136711,0.0139286
reference,European Free Trade Association,Fruits,0.395919,0.392647,0.403552
reference,European Free Trade Association,Vegetables,0.203267,0.20724,0.212949
reference,European Free Trade Association,MiscCrop,0.448491,0.435538,0.448713
reference,European Free Trade Association,FiberCrop,4.85E-05,1.66E-05,1.71E-05
reference,European Free Trade Association,OilCrop,0.906768,0.90208,0.926618
reference,European Free Trade Association,OilPalm,0.0132071,0.0125898,0.0129667
reference,European Free Trade Association,Soybean,0.0807146,0.0760658,0.0780518
reference,European Free Trade Association,OtherGrain,0.409587,0.415163,0.422867
reference,European Free Trade Association,Beef,0.287165,0.289799,0.296719
reference,European Free Trade Association,Dairy,2.02478,2.01406,2.06783
reference,European Free Trade Association,OtherMeat_Fish,0.425625,0.433736,0.445796
reference,European Free Trade Association,Pork,0.728188,0.735054,0.755378
reference,European Free Trade Association,Poultry,0.418491,0.426253,0.438218
reference,European Free Trade Association,SheepGoat,0.0676416,0.0666378,0.0682321
reference,European Free Trade Association,Legumes,0.245019,0.27837,0.285647
reference,European Free Trade Association,NutsSeeds,0.309441,0.309411,0.3178
reference,European Free Trade Association,Rice,0.123247,0.124977,0.127558
reference,European Free Trade Association,RootTuber,0.290422,0.265416,0.270189
reference,European Free Trade Association,SugarCrop,1.26726,1.27382,1.31352
reference,European Free Trade Association,Wheat,2.96489,3.06386,3.13049
reference,India,Corn,17.9054,16.0938,16.3267
reference,India,Fruits,28.047,28.5712,30.41
reference,India,Vegetables,27.1321,27.976,29.7718
reference,India,MiscCrop,9.73982,9.17251,9.78353
reference,India,FiberCrop,8.98284,7.92084,8.40859
reference,India,OilCrop,46.6544,46.4827,49.3351
reference,India,OilPalm,12.2981,12.1484,12.9841
reference,India,Soybean,21.3812,21.8118,23.2128
reference,India,OtherGrain,39.5271,40.6317,41.5259
reference,India,Beef,3.66525,4.33146,4.58867
reference,India,Dairy,116.88,120.376,125.965
reference,India,OtherMeat_Fish,7.34772,7.61813,8.18513
reference,India,Pork,0.79303,0.760444,0.813075
reference,India,Poultry,11.1393,11.7598,12.6057
reference,India,SheepGoat,1.06188,1.05038,1.12693
reference,India,Legumes,54.7669,57.0183,60.794
reference,India,NutsSeeds,25.1326,27.6633,29.2698
reference,India,Rice,275.418,275.213,280.755
reference,India,RootTuber,23.3503,23.8385,24.3491
reference,India,SugarCrop,88.4518,87.7795,92.9464
reference,India,Wheat,218.885,227.826,232.195
