# File: AgMIP_SectoralWasteShare_agg_updated_future_SSP.csv
# Title: Food calorie waste shares by aggregated food groups derived using AgMIP EL2 data
# Units: %
# Comments: preprocessing and aggregation were performed in gcamfaostat
# Source: AgMIP EL2 2025 and gcamfaostat
# Author: xz (Mar 2025)
# Column types: ciicn
# ----------
scenario,GCAM_region_ID,year,WasteSector,WasteShare
SSP3,1,2010,Others,0.226982544
SSP3,1,2011,Animal,0.299980699
SSP3,1,2011,FruitsVeg,0.480389124
SSP3,1,2011,Others,0.227282961
SSP3,1,2012,Animal,0.30058898
SSP3,1,2012,FruitsVeg,0.480997404
SSP3,1,2012,Others,0.227891241
SSP3,1,2013,Animal,0.301138092
SSP3,1,2013,FruitsVeg,0.481546517
SSP3,1,2013,Others,0.228440354
SSP3,1,2014,Animal,0.301871947
SSP3,1,2014,FruitsVeg,0.482280372
SSP3,1,2014,Others,0.229174208
SSP3,1,2015,Animal,0.302801348
SSP3,1,2015,FruitsVeg,0.483209773
SSP3,1,2015,Others,0.230103609
SSP3,1,2016,Animal,0.303248535
SSP3,1,2016,FruitsVeg,0.48365696
SSP3,1,2016,Others,0.230550797
SSP3,1,2017,Animal,0.303971059
SSP3,1,2017,FruitsVeg,0.484379484
SSP3,1,2017,Others,0.23127332
SSP3,1,2018,Animal,0.304938281
SSP3,1,2018,FruitsVeg,0.484938936
SSP3,1,2018,Others,0.232240543
SSP3,1,2019,Animal,0.305727713
SSP3,1,2019,FruitsVeg,0.484938936
SSP3,1,2019,Others,0.233029974
SSP3,1,2020,Animal,0.304530512
SSP3,1,2020,FruitsVeg,0.484938936
SSP3,1,2020,Others,0.231832773
SSP3,1,2021,Animal,0.305609013
SSP3,1,2021,FruitsVeg,0.484938936
SSP3,1,2021,Others,0.232911274
SSP3,1,2022,Animal,0.306657562
SSP3,1,2022,FruitsVeg,0.484938936
SSP3,1,2022,Others,0.233959823
SSP3,1,2023,Animal,0.307675655
SSP3,1,2023,FruitsVeg,0.484938936
SSP3,1,2023,Others,0.234977916
SSP3,1,2024,Animal,0.30866486
SSP3,1,2024,FruitsVeg,0.484938936
SSP3,1,2024,Others,0.235967121
SSP3,1,2025,Animal,0.30962663
SSP3,1,2025,FruitsVeg,0.484938936
SSP3,1,2025,Others,0.236928891
SSP3,1,2026,Animal,0.310277516
SSP3,1,2026,FruitsVeg,0.484938936
SSP3,1,2026,Others,0.237579777
SSP3,1,2027,Animal,0.310914139
SSP3,1,2027,FruitsVeg,0.484938936
SSP3,1,2027,Others,0.2382164
SSP3,1,2028,Animal,0.311537028
SSP3,1,2028,FruitsVeg,0.484938936
SSP3,1,2028,Others,0.238839289
SSP3,1,2029,Animal,0.312146682
SSP3,1,2029,FruitsVeg,0.484938936
SSP3,1,2029,Others,0.239448944
SSP3,1,2030,Animal,0.312743577
SSP3,1,2030,FruitsVeg,0.484938936
SSP3,1,2030,Others,0.240045838
SSP3,1,2031,Animal,0.313103148
SSP3,1,2031,FruitsVeg,0.484938936
SSP3,1,2031,Others,0.240405409
SSP3,1,2032,Animal,0.313457003
SSP3,1,2032,FruitsVeg,0.484938936
SSP3,1,2032,Others,0.240759264
SSP3,1,2033,Animal,0.31380541
SSP3,1,2033,FruitsVeg,0.484938936
SSP3,1,2033,Others,0.241107671
SSP3,1,2034,Animal,0.314148626
SSP3,1,2034,FruitsVeg,0.484938936
SSP3,1,2034,Others,0.241450887
SSP3,1,2035,Animal,0.314486535
